columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 30/04/2007;Título;El nuevo ciclo de planificación hidrológica en España;
;Descripción;Jornadas en Madrid, 27-30 de marzo de 2007 sobrela elaboración de los Planes Hidrológicos;
;Tipo;Ambito;Tema
;Artículo;España;Planificación
