columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 04/07/2005";Título;Nitratos: Masas de agua afectadas;;
;Descripción;D. 49/2000 masas de agua afectadas por la contaminación de nitratos de origen agrario y se designan las zonas vulnerables por dicha contaminación;;
;Código;Aprobado;Categoría;Ámbito
;Agua Cont;;Decreto;Canarias
