columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 16/04/2007;Título;Directiva Marco del Agua;
;Descripción;Directiva Marco del Agua 2000/60/CE;
;Tipo;Ambito;Tema
;Directiva;Union Europea;
