columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 26/09/2002";Título;Pliego de C.A.G para la contratación de obras del Estado;;
;Descripción;D. 3854/70, de 31 de diciembre, POR EL QUE SE APRUEBA EL PLIEGO DE CLAUSULAS GENERALES PARA LA CONTRATACION DE OBRAS DEL ESTADO;;
;Código;Aprobado;Categoría;Ámbito
;Contr;;Decreto;España
