columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 06/11/2007";Título;Responsabilidad medioambiental;;
;Descripción;Ley 26/2007, de 23 de Octubre, de Responsabilidad Medioambiental;;
;Código;Aprobado;Categoría;Ámbito
;MAmb;;Ley;España
