columna_1;columna_2;columna_3;columna_4;columna_5
"Artículos y
Publicaciones";Título;Estudio hidrogeológico del este de Gran Canaria;;
;Descripción;Estado del conocimiento actual sobre el ciclo hidrológico, sobre el funcionamiento del acuífero y sobre los usos del agua en la zona este de Gran Canaria;;
;Tipo;Año;Tema;Autor
;Estudio;2006;Hidrogeología;IGME - CIAGC
