columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 21/09/2001";Título;Ley de Contratos de las Administraciones Públicas.DEROGADO PARCIAL;;
;Descripción;R.D.L. 2/2000, de 16 de junio, por el que se aprueba el texto refundido de la Ley de Contratos de las Administraciones Públicas.;;
;Código;Aprobado;Categoría;Ámbito
;Contr;;Real Decreto;España
