columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/04/2007;Título;Cumplimiento sobre los artículos V y VI de la DMA;
;Descripción;Síntesis de la información remitida por Españ para dar cumplimiento a los artículos 5 y 6 de la DMA, en materia de aguas subterráneas;
;Tipo;Ambito;Tema
;Informe;España;Subterraneas
