columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 19/05/2010";Título;Directiva de inundaciones;;
;Descripción;Directiva 2007/60/CE del PE y del Consejo de 23 de octubre de 2007 relativa a la evaluación y gestión de los riesgos de inundación;;
;Código;Aprobado;Categoría;Ámbito
;Agua Inund;;Directiva;Union Europea
