columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 30/04/2007;Título;Calendario y programa de trabajo Gran Canaria;
;Descripción;Informe de Prointec de diciembre de 2006;
;Tipo;Ambito;Tema
;Informe;Gran Canaria;Plan Hidrológico
