columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 19/03/2001";Título;Control de Vertidos para la Protección del Dominio Público Hidráulico;;
;Descripción;D. 174/1994 Reglamento de Control de Vertidos para la Protección DPH;;
;Código;Aprobado;Categoría;Ámbito
;Agua Cont;;Reglamento;Canarias
