columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;Procesos de planificación;
;Descripción;11° Documento-Guía de la Estrategia de Implantación Común para la Directiva Marco de Agua;
;Tipo;Ambito;Tema
;Guía metodológica;Unión Europea;
