columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 27/04/2007;Título;El agua es esencial para la vida;
;Descripción;Artículo sobre la Directiva Marco de Agua;
;Tipo;Ambito;Tema
;Artículo;Union Europea;
