columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 08/01/2007";Título;Directiva de subterráneas;;
;Descripción;DIRECTIVA 2006/118/CE del parlamento europeo y del consejo relativa a la protección de las aguas subterráneas contra la contaminación y el deterioro;;
;Código;Aprobado;Categoría;Ámbito
;Agua Subt;;Directiva;Union Europea
