columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/01/2008;Título;Reglamento de la Planificación Hidrológica;
;Descripción;Real Decreto por el que se aprueba el Reglamento de la Planificación Hidrológica;
;Tipo;Ambito;Tema
;Reglamento;España;Plan
