columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;Informe sobre participación pública según la DMA;
;Descripción;;
;Tipo;Ámbito;Tema
;Informe;Gran Canaria;Participación pública
