columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 05/04/2001";Título;Tratamiento aguas residuales urbanas: Real Decreto-Ley 11/1995;;
;Descripción;Real Decreto-Ley 11/1995, de 28 de diciembre, por el que se establecen las normas aplicables al tratamiento de las aguas residuales urbanas;;
;Código;Aprobado;Categoría;Ámbito
;Agua Resid;;Real Decreto Ley;España
