columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 12/09/2001";Título;DEROGADO Prevención del Impacto Ecológico LEY 11/1990;;
;Descripción;LEY 11/1990, de 13 de julio, de Prevención del Impacto Ecológico;;
;Código;Aprobado;Categoría;Ámbito
;XMAmb;;Ley;Canarias
