columna_1;columna_2
Encomiendas de Gestión;
Convenio de cooperación educativa con la Universidad de Las Palmas de Gran Canaria;
Programa de Formación Dual Inserta de la Fundación Universitaria de Las Palmas;
Convenio con la Comunidad de Regantes Medianias de Ingenio;
Modificaciones: NO;
