columna_1;columna_2
Encomiendas de Gestión;
"Convenio Gobierno de Canarias (Consejería de Política Territorial)
- Proyecto PERTE de digitalización del ciclo del agua -";
Convenio de cooperación educativa con la Universidad de Las Palmas de Gran Canaria;
Subcontrataciones: NO;
Modificaciones: NO;
