Indicadores;Buen estado
General;"La masa de agua subterránea tendrá una composición química tal que las concentraciones de contaminantes:
como se especifica a continuación, no presenten efectos de intrusión de aguas salinas u otras intrusiones
no rebasen las normas de calidad aplicables en virtud de otras normas comunitarias pertinentes
no sean de tal naturaleza que den lugar a que la masa no alcance los objetivos medioambientales especificados en el artículo 92 bis del texto refundido de la Ley de Aguas ni originen disminuciones significativas de la calidad ecológica o química de dichas masas ni daños significativos a los ecosistemas terrestres asociados que dependan directamente de la masa de agua subterránea."
Conductividad;Las variaciones de la conductividad no indiquen intrusión de aguas salinas u otras intrusiones en la masa de agua subterránea.
