columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 26/10/2009";Título;Protección de las aguas subterráneas contra la contaminación y el deterioro.;;
;Descripción;Real Decreto 1514/2009, de 2 de octubre, por el que se regula la protección de las aguas subterráneas contra la contaminación y el deterioro.;;
;Código;Aprobado;Categoría;Ámbito
;Agua Subt;;Real Decreto;España
