columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 08/01/2007";Título;Nitratos: protección de las aguas contra la contaminación producida por los nitratos procedentes de fuentes agrarias.;;
;Descripción;R.D. 261/1996, de 16 de febrero, sobre protección de las aguas contra la contaminación producida por los nitratos procedentes de fuentes agrarias.;;
;Código;Aprobado;Categoría;Ámbito
;Agua Cont;;Real Decreto;España
