columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/01/2008;Título;Instrucción de planificación hidrológica;
;Descripción;Documento borrador versión 10.0 septiembre de 2007;
;Tipo;Ambito;Tema
;Instrucción;España;Plan
