columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 30/03/2001";Título;Plan Hidrológico. Ordenanzas;;
;Descripción;Decreto 82/1999, de 6 de mayo, por el que se aprueba el PHIGC;;
;Código;Aprobado;Categoría;Ámbito
;Agua PHGC;;Decreto;Canarias
