columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;Caracterización de las masas de agua subterráneas;
;Descripción;Informe técnico sobre la caracterización de las masas de agua subterráneas, elaborado y corregido a partir de la publicación del 13 de octubre del 2003;
;Tipo;Ambito;Tema
;Informe;Unión Europea;Subterraneas
