columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 17/05/2010";Título;Ley de Contratos del Sector Publico;;
;Descripción;Ley 30/07, de 30 de octubre, de contratos del Sector Público;;
;Código;Aprobado;Categoría;Ámbito
;Contr;;Ley;España
