columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 18/11/2009";Título;Reglamento del Dominio Público Hidráulico (Nacional);;
;Descripción;RD 849/86, de 11 de abril, por el que se aprueba el Reglamento del DPH que desarrolla los títulos preliminar, I, IV, V, VI Y VII DE LA LEY 29/85, de 2 de agosto, de Aguas;;
;Código;Aprobado;Categoría;Ámbito
;Agua DPH;;Real Decreto;España
