columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 17/05/2010";Título;Reglamento de la administración pública del agua;;
;Descripción;R.D. 927/88, de 29 de julio, por el que se aprueba el reglamento de la administración pública del agua;;
;Código;Aprobado;Categoría;Ámbito
;Agua;;Real Decreto;España
