columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 20/03/2001";Título;Calidad de las aguas de baño;;
;Descripción;R.D. por el que se establecen normas de calidad de las aguas de baño.;;
;Código;Aprobado;Categoría;Ámbito
;Costas;;Real Decreto;España
