columna_1;columna_2;EUROS/m³
1.;Destino uso propio o autoconsumo-pequeño aprovechamiento;0.016
2.;Destino para venta o abastecimiento a terceros, uso agrario;0.032
3.;Destino para venta o abastecimiento a terceros, otros usos;0.064
