columna_1;columna_2;EUROS
1.;"Transferencia y/o modificación de datos de expedientes
administrativos incoados";14,50
2.;"Incoación y tramitación de expedientes administrativos
con trámite de información pública";118,35
3.;"Incoación y tramitación de expedientes administrativos
sin trámite de información pública";74,65
