columna_1;columna_2;EUROS
1.;"Trabajos de campo: mediciones, levantamientos topográficos,
nivelaciones, replanteos, toma de muestras, ensayos de
bombeo, aforos y otros; con emisión de informe facultativo.";140,60
2.;"Por día de trabajo de campo, adicional, cuando sea
necesario más de 1 día para el trabajo a realizar";93,50
3.;"Trabajos de gabinete; estudios, proyectos, valoraciones,
cálculos, evaluaciones de proyectos y documentos, y
otros; con emisión de informe facultativo.";75,10
4.;"Inspecciones facultativas, sin trabajos específicos de
campo, con emisión de informe facultativo o acta.";72,60
5.;"Inspecciones facultativas de pozos, galerías u otros elementos
con alto riesgo, con emisión de informe facultativo o acta.";202,60
6.;"Actuación administrativa de localización y/o consulta de
expedientes o documentos en archivo histórico de este
Organismo, incremento sobre la tasa que corresponda";3,30
7.;"Remisión de documentos mediante correo ordinario
con acuse de recibo (certificado), envío local o
nacional, hasta 200. g de peso.";4,10
8.;"Remisión de documentos mediante correo ordinario con
acuse de recibo (certificado), envío local o nacional,
hasta 1000 g de peso";5,85
9.;Tasa mínima de actuación administrativa (no reguladas);12,00
