columna_1;columna_2;EUROS
1.;"Expedición de certificados de documentos, acuerdos,
estados de tramitación de procedimientos, de
inscripción, de renovaciones, de modificaciones
en el Registro Insular de Aguas y otras certificaciones.";12.70
2.;Compulsa de documentos, por página.;3.15
3.;Bastanteo de poderes que hayan de surtir efecto en este Organismo.;14.55
