columna_1;columna_2;EUROS
1.;Títulos, nombramientos y credenciales;9,30
2.;Licencias;9,30
3.;Permuta de funcionarios;9,30
4.;"Reconocimiento de derechos pasivos a favor
del personal o de sus causahabientes";9,30
