columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/04/2007;Título;Informe directiva de nitratos;
;Descripción;Informe de la Comisión sobre la aplicación de la directiva de nitratos;
;Tipo;Ambito;Tema
;Informe;Unión Europea;Subterrraneas
