columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 30/04/2007;Título;Trabajos de la Directiva Marco en Canarias;
;Descripción;Presentaciones de la Dirección General de aguas en Lanzarote. Diciembre de 2006;
;Tipo;Ambito;Tema
;Informe, Presentación;Canarias;Planificación
