columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 21/05/2008";Título;RT sobre Seguridad de Presas y Embalses;;
;Descripción;O. de 12 de marzo de 1996, por la que se aprueba el Reglamento Técnico sobre Seguridad de Presas y Embalses;;
;Código;Aprobado;Categoría;Ámbito
;Agua Presas;;Orden;España
