Parámetros · Fósforo total.;Concentración · 2 mg/l P (de 10000 a 100000 h-e). 1 mg/I P (más de 100.000 h-e).;Porcentaje mínimo de reducción (1) · 80;Método de medida de referencia · Espectrofotometría de absorción molecular.
Nitrógeno total (2).;"15 mg/l N (de 10000 a 100000 h-e).
10 mg/l N (más de 100000 h-e) (3).";70-80;Espectrofotometría de absorción molecular.
