columna_1;columna_2;columna_3
Parámetro;Valor paramétrico;Notas
1. Escherichia coli;0 UFC en 100 ml;
2. Enterococo;0 UFC en 100 ml;
3. Clostridium perfringens (incluidas las esporas);0 UFC en 100 ml;1 y 2
