columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 26/09/2002";Título;Reglamento general de la ley de Contratos de las Administraciones Públicas;;
;Descripción;RD 1098/01, de 12 de octubre, POR EL QUE SE APRUEBA EL REGLAMENTO GENERAL DE LA LEY DE CONTRATOS DE LAS ADMINISTRACIONES PUBLICAS (Incluye hasta R.D. 817/2009);;
;Código;Aprobado;Categoría;Ámbito
;Contr;;Real Decreto;España
