Años de experiencia;> · £;- · 2;2 · 5;5 · 10;10 · 15;15 · 20;20 · -
"Importe de obra ejecutada
en el ultimo quinquenio";>;-;1.500.000;4.500.000;7.500.000;10.500.000;13.500.000
;£;1.500.000;4.500.000;7.500.000;10.500.000;13.500.000;-
E=;;0;0,2;0,4;0,6;0,8;1
