columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 19/11/2001";Título;Estructura y func. de la Consejería de Obras Públicas, Vivienda y Aguas.;;
;Descripción;Decreto 190/1994, de 30 de septiembre, por el que se modifica el Decreto 68/1986, de 18 de abril, que regula la estructura y funciones de la Consejería de Obras Públicas, Vivienda y Aguas.;;
;Código;Aprobado;Categoría;Ámbito
;Gen;;Decreto;Canarias
