columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 17/05/2010";Título;Ley de contratos del Sector Público. RD que lo desarrolla parcialmente;;
;Descripción;RD 817/2009, de 8 de mayo, por el que se desarrolla parcialmente la Ley 30/07, de 30 de octubre, de DE CONTRATOS DEL SECTOR PUBLICO;;
;Código;Aprobado;Categoría;Ámbito
;Contr;;Real Decreto;España
