columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 17/05/2010";Título;Reutilización de las aguas depuradas;;
;Descripción;R.D. 1620/2007, de 7 de diciembre, por el que se establece el régimen jurídico de la reutilización de las aguas depuradas;;
;Código;Aprobado;Categoría;Ámbito
;Agua Regen;;Real Decreto;España
