columna_1;columna_2
Completo;
Resumen;
Detallado;
Liquidación;
Ejecución trimestral;
Movimiento y situación de la tesorería;
Gastos de personal y su porcentaje sobre el gasto total;
Cuentas Anuales;
Modificaciones presupuestarias;
"Auditoría de cuentas
(*** NO DISPONIBLE 17/03/2025)";
"Arrendamiento de Bienes Inmuebles
(*** NO DISPONIBLE 17/03/2025)";
Patrocinio y campañas de publicidad institucional;
Subvenciones para Actividades Económicas;
