columna_1;columna_2
Completo;
Resumen;
Balance;
Liquidación;
Ejecución trimestral;
Gastos de personal y su porcentaje sobre el gasto total;
Cuentas Anuales;
Movimiento y situación de la tesorería;
Modificaciones presupuestarias;
"Auditoría de cuentas
(*** NO DISPONIBLE 17/03/2025)";
"Arrendamiento de Bienes Inmuebles
(*** NO DISPONIBLE 17/03/2025)";
Subvenciones para Actividades Económicas;
