columna_1;columna_2;columna_3;columna_4;columna_5
Legislación Creada el 19/03/2001;Título;Ley de Aguas de Canarias;;
;Descripción;L. 12/1990 de 26 de julio, sobre Normas Reguladoras de Aguas;;
;Código;Aprobado;Categoría;Ámbito
;Agua;;Ley;Canarias
