columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado elm25/04/2007;Título;Evalucación de los riesgos de las aguas subterráneas;
;Descripción;Informe técnico sobre las evaluación de riesgos de las aguas subterraneas publicadas y discutidas en el taller del 28 de Enero de 2004;
;Tipo;Ambito;Tema
;Informe;Union Europea;Subterraneas
