columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/04/2007;Título;1° Informe sobre la Red de Control;
;Descripción;"Informe en el que se establecen los puntos que constituir&aaciute;n la red de control consagrada a la caracterización de las masas de agua en Gran Canaria";
;Tipo;Ambito;Tema
;Informe;Gran Canaria;Subterraneas
