columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 20/08/2002";Título;Reglamento de Dominio Público Hidráulico;;
;Descripción;Decreto 86/2002, de 2 de Julio, por el que se aprueba el Reglamento de Dominio Público Hidráulico.;;
;Código;Aprobado;Categoría;Ámbito
;Agua DHP;;Decreto;Canarias
