columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 15/07/2014";Título;Régimen jurídico de los suelos contaminados en la Comunidad Autónoma de Canarias;;
;Descripción;Decreto 147/2007, de 24 de mayo. Regula el régimen jurídico de los suelos contaminados en la Comunidad Autónoma de Canarias y se crea el Inventario de Suelos Contaminados de Canarias.;;
;Código;Aprobado;Categoría;Ámbito
;MAmb;;Decreto;Canarias
