columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;La Unión Europea apuesta por las zonas costeras;
;Descripción;Un cambio de rumbo para las zonas costeras europeas;
;Tipo;Ámbito;Tema
;Artículo;Unión Europea;zonas costeras
