columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 11/02/2003";Título;Directiva Marco del Agua DMA;;
;Descripción;Directiva 2000/60/CE del PE y del Consejo por la que se establece un marco comunitario de actuación en el ámbito de la política de aguas;;
;Código;Aprobado;Categoría;Ámbito
;Agua;;Directiva;Union Europea
