columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;Elementos de buena práctica en la gestión integrada de cuencas hidrográficas;
;Descripción;Un documento de consulta para la aplicación de la Directiva marco del agua de la UE;
;Tipo;Ambito;Tema
;Articulo;Unión Europea;
