columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 25/04/2007;Título;Economía y el Medio Ambiente. El reto de implantar DMA;
;Descripción;1° Documento-Guía de la Estrategia de Implantación Común para la Directiva Marco de Agua;
;Tipo;Ambito;Tema
;Guía metodológica;Unión Europea;Medio Ambiente
