Parámetros;Concentración;Porcentaje mínimo de reducción (1);Método de medida de referencia
Fósforo total;"2 mg/l P (de 10.000 a 100.000 e-h).
1 mg/l (más de 100.00 e-h).";80;Espectrofotometría de absorción molecular
Nitógeno total (2);"15 mg/l (de 10.000 a 100.000 e-h) (3).
10 mg/l (más de 100.000 e-h) (3).";70-80;Espectrofotometría de absorción molecular
