columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 08/01/2007";Título;Directiva de Aguas residuales urbanas;;
;Descripción;Directiva 91/271/CEE del Consejo, de 21 de mayo de 1991, sobre el tratamiento de las aguas residuales urbanasctiva;;
;Código;Aprobado;Categoría;Ámbito
;Agua Resid;;Directiva;Union Europea
