columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 21/05/2008";Título;Ley de Aguas;;
;Descripción;R.D.L. 1/01, de 20 de julio, por el que se aprueba el texto refundido de la Ley de Aguas. (Incluye hasta la modificación realizada por la LEY 42/07);;
;Código;Aprobado;Categoría;Ámbito
;Agua;;Real Decreto Legislativo;España
