columna_1;columna_2;columna_3;columna_4;columna_5
"Legislación
Creada el 02/12/2010";Título;Lista de sustancias prioritarias;;
;Descripción;Decisión no 2455/2001/CE por la que se aprueba la lista de sustancias prioritarias en el ámbito de la política de aguas, y por la que se modifica la Directiva 2000/60/CE;;
;Código;Aprobado;Categoría;Ámbito
;Agua;;Directiva;Union Europea
