columna_1;columna_2;columna_3;columna_4;columna_5
"Artículos y
Publicaciones";Título;Estudio científico de los recursos de agua en las Islas Canarias SPA/69/515;;
;Descripción;"Estudios realizados y un compendio de los resultados obtenidos en la provincia de Las Palmas -constituida por las islas de Gran Canaria, Fuerteventura y Lanzarote- dentro del marco del Proyecto Canarias Spa - 15, dedicado al ""Estudio Científico de los Recursos de Agua en las Islas Canarias""";;
;Tipo;Año;Tema;Autor
;Libro, Estudio;1975;Hidrogeología;Ministerio de Obras Públicas y Urbanismo y la UNESCO
