columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/04/2007;Título;Informe sobre los artículos V y VI de la DMA;
;Descripción;Síntsesis del informe sobre los articulos V y VI de la Directiva Marco de Aguas para Gran Canaria;
;Tipo;Ambito;Tema
;Informe;Gran Canaria;Subterraneas
