columna_1;columna_2;columna_3;columna_4
Directiva Marco del Agua Creado el 24/01/2008;Título;Instrucción de Planificación Hidrológica;
;Descripción;Borrador de la Instrucción de la Planificación Hidrológica;
;Tipo;Ambito;Tema
;Legislación;España;Plan
